Resource,ResourceId,ResourceType,ResourceGroupName,ResourceGroupId,ResourceLocation,SubscriptionName,SubscriptionId,Tags,Cost,CostUSD,Currency
windowsserver2025upgradedisk,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/rds-hosts/providers/microsoft.compute/disks/windowsserver2025upgradedisk,Disk,rds-hosts,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/rds-hosts,ZA North,jaybdemosub,c8992b61-099b-4b88-84e6-c2a223bb24a1,[],489.8413543,30.86335501,ZAR
winser2025upgradedisk,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/rds-hosts/providers/microsoft.compute/disks/winser2025upgradedisk,Disk,rds-hosts,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/rds-hosts,ZA North,jaybdemosub,c8992b61-099b-4b88-84e6-c2a223bb24a1,[],489.1529381,30.82007881,ZAR
dc_disk1_aaf12f35ff4f449ba67d36dfe659e797,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/dc-rg/providers/microsoft.compute/disks/dc_disk1_aaf12f35ff4f449ba67d36dfe659e797,Disk,dc-rg,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/dc-rg,ZA North,jaybdemosub,c8992b61-099b-4b88-84e6-c2a223bb24a1,[],141.4243734,8.900519372,ZAR
rds-host1-serv_osdisk_1_1e525c4802a74141b204b563da059498,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/rds-hosts/providers/microsoft.compute/disks/rds-host1-serv_osdisk_1_1e525c4802a74141b204b563da059498,Disk,rds-hosts,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/rds-hosts,ZA North,jaybdemosub,c8992b61-099b-4b88-84e6-c2a223bb24a1,"[""\""rds-host\"":\""host1\"""",""\""delete\"":\""tempresource\""""]",140.5760887,8.847193287,ZAR
server22-datacenter_osdisk_1_47da54af6eb84ffb842766a04f64cf9d,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/upgrade-rg/providers/microsoft.compute/disks/server22-datacenter_osdisk_1_47da54af6eb84ffb842766a04f64cf9d,Disk,upgrade-rg,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/upgrade-rg,ZA North,jaybdemosub,c8992b61-099b-4b88-84e6-c2a223bb24a1,[],70.81479154,4.461758919,ZAR
dc,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/dc-rg/providers/microsoft.compute/virtualmachines/dc,Virtual machine,dc-rg,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/dc-rg,"AU East, Middle East And Africa, Intercontinental, ZA North",jaybdemosub,c8992b61-099b-4b88-84e6-c2a223bb24a1,[],69.20182127,4.350263792,ZAR
dc-ip,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/dc-rg/providers/microsoft.network/publicipaddresses/dc-ip,Public IP address,dc-rg,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/dc-rg,ZA North,jaybdemosub,c8992b61-099b-4b88-84e6-c2a223bb24a1,[],66.1416,4.162649262,ZAR
rds-host1-serv-ip,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/rds-hosts/providers/microsoft.network/publicipaddresses/rds-host1-serv-ip,Public IP address,rds-hosts,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/rds-hosts,ZA North,jaybdemosub,c8992b61-099b-4b88-84e6-c2a223bb24a1,"[""\""rds-host\"":\""host1\"""",""\""delete\"":\""tempresource\""""]",66.1416,4.162649262,ZAR
demodisk,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/dc-rg/providers/microsoft.compute/disks/demodisk,Disk,dc-rg,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/dc-rg,ZA North,jaybdemosub,c8992b61-099b-4b88-84e6-c2a223bb24a1,[],36.6101666,2.304074617,ZAR
rds-host1-serv,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/rds-hosts/providers/microsoft.compute/virtualmachines/rds-host1-serv,Virtual machine,rds-hosts,/subscriptions/c8992b61-099b-4b88-84e6-c2a223bb24a1/resourcegroups/rds-hosts,"AU East, ZA North, Intercontinental",jaybdemosub,c8992b61-099b-4b88-84e6-c2a223bb24a1,"[""\""rds-host\"":\""host1\"""",""\""delete\"":\""tempresource\""""]",35.57540467,2.236391933,ZAR
